ticker,name,currency,px,street_tgt,C,eps_src,beat_b_pct,e_bear,e_base,e_bull,pe_bear,pe_base,pe_bull,pe_tiers,pe_source,dynPE_now,vjn_forward_pe,yahoo_fwdPE,tp_bear,tp_base,tp_bull,up_bear_pct,up_base_pct,up_bull_pct,note,asof
MU,美光,USD,1016.59,1513.1111,152.576496,动态NTM w=0.97,20.28,152.576496,168.04775269439997,183.51900938880001,5.2,7.3,9.1,熊5.2/中7.3/牛9.1×,近1Y动态前瞻PE[1Y] p25/50/75=6.43/7.26/9.10,6.662821775642299,,6.5575776,793.3977792,1226.7485946691197,1670.02298543808,-21.95,20.67,64.28,下刊~9/23; 熊PE锚定5.25; 熊5.2/中7.3/牛9.1×,2026-09-08
SNDK,闪迪,USD,1740.0,2125.087,263.20291679999997,动态NTM w=0.97,46.31,263.20291679999997,324.15084222149994,385.098767643,3.6,5.0,8.2,熊3.6/中5.0/牛8.2×,近1Y动态前瞻PE[2026-01+] p25/50/75=3.58/5.05/8.15,6.610868987147943,,6.5729427,947.5305004799999,1620.7542111074997,3157.8098946725995,-45.54,-6.85,81.48,全量刷新; 熊3.6/中5.0/牛8.2×,2026-09-08
WDC,西数,USD,467.46,664.9167,31.399787,动态NTM w=0.97,11.21,31.399787,33.159745061349994,34.9197031227,11.4,14.3,19.0,熊11.4/中14.3/牛19.0×,近1Y动态前瞻PE[1Y] p25/50/75=11.36/14.32/19.01,14.887362134017023,,14.723367,357.9575718,474.18435437730494,663.4743593313,-23.42,1.44,41.93,全量刷新; 熊11.4/中14.3/牛19.0×,2026-09-08
AAOI,AAOI,USD,105.53,163.4,4.602,+1y/FY2,14.65,4.602,4.939096500000001,5.276193000000001,26.6,35.5,39.9,熊26.6/中35.5/牛39.9×,street-wing mid=tgt/C; 熊26.6/中35.5/牛39.9×,,,22.931334,122.55,175.36905000000002,210.75536250000002,16.13,66.18,99.71,全量刷新,2026-09-08
NOK,诺基亚,USD,10.03,14.96,0.49692,+1y/FY2,16.38,0.49692,0.5376053249999999,0.57829065,22.6,30.1,33.9,熊22.6/中30.1/牛33.9×,street-wing mid=tgt/C; 熊22.6/中30.1/牛33.9×,,,20.184336,11.22,16.18485,19.585912500000006,11.86,61.36,95.27,全量刷新,2026-09-08
NVDA,英伟达,USD,230.36,327.12808,15.4581,+1y/FY2,5.12,15.4581,15.85382736,16.24955472,15.9,21.2,23.8,熊15.9/中21.2/牛23.8×,street-wing mid=tgt/C; 熊15.9/中21.2/牛23.8×,,,14.843682,245.34606,335.50255884800004,386.86166740799996,6.51,45.64,67.94,Q2FY27已报; 熊15.9/中21.2/牛23.8×; fwdPE≈14.8×,2026-09-08
LITE,Lumentum,USD,881.255,1148.4335,21.6426,FY27=0y(已报FY26),9.75,21.6426,22.697947282500003,23.753294565000004,39.8,53.1,59.7,熊39.8/中53.1/牛59.7×,street-wing mid=tgt/C; 熊39.8/中53.1/牛59.7×,,,26.46316,861.325125,1204.43398854375,1417.9887867234377,-2.26,36.67,60.91,全量刷新,2026-09-08
AVGO,博通,USD,357.895,533.4087,19.37208,+1y/FY2,2.49,19.37208,19.613504547,19.854929094000003,20.7,27.5,31.0,熊20.7/中27.5/牛31.0×,street-wing mid=tgt/C; 熊20.7/中27.5/牛31.0×,,,18.474785,400.0565249999999,540.05630592375,615.0419008284375,11.78,50.9,71.85,Q3FY26已报(9/2): NG EPS$3.32 vs $3.24; C用+1y; 熊20.7/中27.5/牛31.0×,2026-09-08
MRVL,Marvell,USD,223.55,284.99802,6.72085,+1y/FY2,1.42,6.72085,6.768652045625001,6.81645409125,31.8,42.4,47.7,熊31.8/中42.4/牛47.7×,street-wing mid=tgt/C; 熊31.8/中42.4/牛47.7×,,,33.26216,213.748515,287.02506841725005,325.1836314388125,-4.38,28.39,45.46,Q2FY27已报: Rev$2.74B(+37%YoY) NG EPS$0.94; Q3指引Rev$3.15B±5% EPS$1.10±0.05; 上调FY27/28收入展望; 熊31.8/中42.4/牛47.7×,2026-09-08
AMD,AMD,USD,477.57,613.8449,15.45073,+1y/FY2,6.87,15.45073,15.981655709625,16.512581419249997,29.8,39.7,44.7,熊29.8/中39.7/牛44.7×,street-wing mid=tgt/C; 熊29.8/中39.7/牛44.7×,,,30.78501,460.3836750000001,634.9381453762501,738.0353145965624,-3.6,32.95,54.54,全量刷新,2026-09-08
COHR,Coherent,USD,281.86,415.36197,9.41634,FY27=0y(已报FY26),6.7,9.41634,9.731905094250001,10.0474701885,33.1,44.1,49.6,熊33.1/中44.1/牛49.6×,street-wing mid=tgt/C; 熊33.1/中44.1/牛49.6×,,,20.197329,311.5214775,429.2817880196251,498.6018067941563,10.52,52.3,76.9,全量刷新,2026-09-08
NBIS,Nebius,USD,226.39,286.6875,,YE27 ARR $B (非EPS),,14.0,17.0,22.0,3.0,5.0,7.0,熊3.0/中5.0/牛7.0×(EV/ARR),bc-01a016f0终稿 EV/ARR 3/5/7 × ARR $14/17/22B → $140/$291/$533,,,,140.0,291.0,533.0,-38.16,28.54,135.43,Nebius财报解读终稿; 跳过PE,2026-09-08
INTC,英特尔,USD,95.8,115.78049,2.06,FY27离散度(39分析师): $1.41/$2.06/$3.44; 不用beat,,1.41,2.06,3.44,55.0,50.0,45.0,熊55/中50/牛45×(倒挂),FY27离散度×PE倒挂(熊高倍/牛低倍); EV/Sales≈6.2/8.0/11.8×(@FY27 Rev $71.3B),,,46.910885,77.55,103.0,154.8,-19.05,7.52,61.59,熊55/中50/牛45×(倒挂); CapEx>$20B/2027更高; 净负债$20.8B; SCIP回购$14.2B; 以色列KG厂地缘风险,2026-09-08
000660.KS,海力士,KRW,1848000.0,3197603.8,435774.238,动态NTM w=0.7,26.67,435774.238,493895.62699325004,552017.0159865001,1.6,4.0,5.0,熊1.6/中4.0/牛5.0×,近1Y动态前瞻PE[1Y] p25/50/75=1.63/4.04/5.04,4.240727970706703,,3.909135,697238.7808000001,1975582.5079730002,2760085.0799325006,-62.27,6.9,49.36,全量刷新; 熊1.6/中4.0/牛5.0×,2026-09-08
005930.KS,三星,KRW,273500.0,472178.47,63087.77109999999,动态NTM w=0.7,21.75,63087.77109999999,69946.9890128475,76806.20692569499,2.3,5.2,6.5,熊2.3/中5.2/牛6.5×,近1Y动态前瞻PE[1Y] p25/50/75=2.28/5.20/6.51,4.3352300331941835,,3.9438546,145101.87352999995,363724.342866807,499240.34501701745,-46.95,32.99,82.54,全量刷新; 熊2.3/中5.2/牛6.5×,2026-09-08
AMZN,亚马逊,USD,258.51,328.1707,10.49168,+1y/FY2,29.93,10.49168,12.061891058,13.632102116000002,23.5,31.3,35.2,熊23.5/中31.3/牛35.2×,street-wing mid=tgt/C; 熊23.5/中31.3/牛35.2×,,,24.855967,246.12802500000004,377.28554738875005,479.70044412468764,-4.79,45.95,85.56,全量刷新,2026-09-08
MSFT,微软,USD,499.7,572.91516,23.57328,+1y/FY2,8.78,23.57328,24.608441658,25.643603316,18.2,24.3,27.3,熊18.2/中24.3/牛27.3×,street-wing mid=tgt/C; 熊18.2/中24.3/牛27.3×,,,21.19773,429.68637,598.0732969635001,701.1353631678751,-14.01,19.69,40.31,全量刷新,2026-09-08
