ticker,name,currency,px,street_tgt,C,eps_src,beat_b_pct,e_bear,e_base,e_bull,pe_bear,pe_base,pe_bull,pe_tiers,pe_source,dynPE_now,vjn_forward_pe,yahoo_fwdPE,tp_bear,tp_base,tp_bull,up_bear_pct,up_base_pct,up_bull_pct,note,asof
MU,美光,USD,938.4,1513.409,155.02524,动态NTM w=1.0,20.28,155.02524,170.744799336,186.464358672,5.2,7.3,9.1,熊5.2/中7.3/牛9.1×,近1Y动态前瞻PE[1Y] p25/50/75=6.43/7.26/9.10,6.053207851831095,,6.053208,806.131248,1246.4370351528,1696.8256639152,-14.1,32.83,80.82,下刊~9/23; 熊PE锚定5.25; 熊5.2/中7.3/牛9.1×,2026-08-27
SNDK,闪迪,USD,1499.37,2125.087,264.72162,动态NTM w=1.0,46.31,264.72162,326.02122013124995,387.3208202625,3.6,5.0,8.2,熊3.6/中5.0/牛8.2×,近1Y动态前瞻PE[2026-01+] p25/50/75=3.58/5.05/8.15,5.663949925963736,,5.66395,952.9978319999999,1630.1061006562497,3176.0307261524995,-36.44,8.72,111.82,全量刷新; 熊3.6/中5.0/牛8.2×,2026-08-27
WDC,西数,USD,468.88,664.9167,31.74953,动态NTM w=1.0,11.21,31.74953,33.529091156499994,35.308652313,11.4,14.3,19.0,熊11.4/中14.3/牛19.0×,近1Y动态前瞻PE[1Y] p25/50/75=11.36/14.32/19.01,14.768092630032633,,14.768092,361.944642,479.46600353795,670.864393947,-22.81,2.26,43.08,全量刷新; 熊11.4/中14.3/牛19.0×,2026-08-27
AAOI,AAOI,USD,113.76,163.4,4.602,+1y/FY2,14.65,4.602,4.939096500000001,5.276193000000001,26.6,35.5,39.9,熊26.6/中35.5/牛39.9×,street-wing mid=tgt/C; 熊26.6/中35.5/牛39.9×,,,24.719687,122.55,175.36905000000002,210.75536250000002,7.73,54.16,85.26,全量刷新,2026-08-27
NOK,诺基亚,USD,10.41,15.02222,0.49692,+1y/FY2,16.38,0.49692,0.5376053249999999,0.57829065,22.7,30.2,34.0,熊22.7/中30.2/牛34.0×,street-wing mid=tgt/C; 熊22.7/中30.2/牛34.0×,,,20.949047,11.266665,16.2521642625,19.667372090625,8.23,56.12,88.93,全量刷新,2026-08-27
NVDA,英伟达,USD,209.66,305.7931,13.12766,+1y/FY2,5.12,13.12766,13.463728096000002,13.799796191999999,17.5,23.3,26.2,熊17.5/中23.3/牛26.2×,street-wing mid=tgt/C; 熊17.5/中23.3/牛26.2×,,,15.970859,229.344825,313.62140336,361.6309200599999,9.39,49.59,72.48,Q2FY27已报; 熊17.5/中23.3/牛26.2×; fwdPE≈16.0×,2026-08-27
LITE,Lumentum,USD,939.03,1148.303,21.62373,FY27=0y(已报FY26),9.75,21.62373,22.678157134124998,23.73258426825,39.8,53.1,59.7,熊39.8/中53.1/牛59.7×,street-wing mid=tgt/C; 熊39.8/中53.1/牛59.7×,,,28.444105,861.2272500000001,1204.2971250375,1417.8276563343752,-8.29,28.25,50.99,全量刷新,2026-08-27
AVGO,博通,USD,355.59,525.97394,19.49103,+1y/FY2,2.26,19.49103,19.711278639,19.931527277999997,20.2,27.0,30.4,熊20.2/中27.0/牛30.4×,street-wing mid=tgt/C; 熊20.2/中27.0/牛30.4×,,,18.243776,394.480455,531.917445522,605.0935699244999,10.94,49.59,70.17,下刊~9/2; 熊20.2/中27.0/牛30.4×,2026-08-27
MRVL,Marvell,USD,245.11,269.28217,6.31536,+1y/FY2,1.05,6.31536,6.348436698,6.381513396,32.0,42.6,48.0,熊32.0/中42.6/牛48.0×,street-wing mid=tgt/C; 熊32.0/中42.6/牛48.0×,,,38.81172,201.9616275,270.692535365375,306.1157633220937,-17.6,10.44,24.89,MRVL待财报(~8/27); 熊32.0/中42.6/牛48.0×,2026-08-27
AMD,AMD,USD,480.93,613.8449,15.45073,+1y/FY2,6.87,15.45073,15.981655709625,16.512581419249997,29.8,39.7,44.7,熊29.8/中39.7/牛44.7×,street-wing mid=tgt/C; 熊29.8/中39.7/牛44.7×,,,31.071903,460.3836750000001,634.9381453762501,738.0353145965624,-4.27,32.02,53.46,全量刷新,2026-08-27
COHR,Coherent,USD,294.37,416.09348,9.40614,FY27=0y(已报FY26),6.7,9.40614,9.721363266750002,10.036586533500001,33.2,44.2,49.8,熊33.2/中44.2/牛49.8×,street-wing mid=tgt/C; 熊33.2/中44.2/牛49.8×,,,21.103395,312.07010999999994,430.0378127485,499.47991368412494,6.01,46.09,69.68,全量刷新,2026-08-27
NBIS,Nebius,USD,213.93,286.6875,,YE27 ARR $B (非EPS),,14.0,17.0,22.0,3.0,5.0,7.0,熊3.0/中5.0/牛7.0×(EV/ARR),bc-01a016f0终稿 EV/ARR 3/5/7 × ARR $14/17/22B → $140/$291/$533,,,,140.0,291.0,533.0,-34.56,36.03,149.15,Nebius财报解读终稿; 跳过PE,2026-08-27
INTC,英特尔,USD,88.24,114.87805,2.06,FY27离散度(39分析师): $1.41/$2.06/$3.44; 不用beat,,1.41,2.06,3.44,55.0,50.0,45.0,熊55/中50/牛45×(倒挂),FY27离散度×PE倒挂(熊高倍/牛低倍); EV/Sales≈6.2/8.0/11.8×(@FY27 Rev $71.3B),,,43.252148,77.55,103.0,154.8,-12.11,16.73,75.43,熊55/中50/牛45×(倒挂); CapEx>$20B/2027更高; 净负债$20.8B; SCIP回购$14.2B; 以色列KG厂地缘风险,2026-08-27
