ticker,name,currency,px,street_tgt,C,eps_src,beat_b_pct,e_bear,e_base,e_bull,pe_bear,pe_base,pe_bull,pe_tiers,pe_source,dynPE_now,vjn_forward_pe,yahoo_fwdPE,tp_bear,tp_base,tp_bull,up_bear_pct,up_base_pct,up_bull_pct,note,asof
MU,美光,USD,1000.26,1513.1111,152.576496,动态NTM w=0.97,20.28,152.576496,168.04775269439997,183.51900938880001,5.2,7.3,9.1,熊5.2/中7.3/牛9.1×,近1Y动态前瞻PE[1Y] p25/50/75=6.43/7.26/9.10,6.555793495218294,,6.45224,793.3977792,1226.7485946691197,1670.02298543808,-20.68,22.64,66.96,下刊~9/23; 熊PE锚定5.25; 熊5.2/中7.3/牛9.1×,2026-09-09
SNDK,闪迪,USD,1737.99,2125.087,263.20291679999997,动态NTM w=0.97,46.31,263.20291679999997,324.15084222149994,385.098767643,3.6,5.0,8.2,熊3.6/中5.0/牛8.2×,近1Y动态前瞻PE[2026-01+] p25/50/75=3.58/5.05/8.15,6.603232293662789,,6.5653496,947.5305004799999,1620.7542111074997,3157.8098946725995,-45.48,-6.75,81.69,全量刷新; 熊3.6/中5.0/牛8.2×,2026-09-09
WDC,西数,USD,477.3,664.9167,31.399787,动态NTM w=0.97,11.21,31.399787,33.159745061349994,34.9197031227,11.4,14.3,19.0,熊11.4/中14.3/牛19.0×,近1Y动态前瞻PE[1Y] p25/50/75=11.36/14.32/19.01,15.200740055975539,,15.033293,357.9575718,474.18435437730494,663.4743593313,-25.0,-0.65,39.01,全量刷新; 熊11.4/中14.3/牛19.0×,2026-09-09
AAOI,AAOI,USD,111.55,163.4,4.602,+1y/FY2,14.65,4.602,4.939096500000001,5.276193000000001,26.6,35.5,39.9,熊26.6/中35.5/牛39.9×,street-wing mid=tgt/C; 熊26.6/中35.5/牛39.9×,,,24.23946,122.55,175.36905000000002,210.75536250000002,9.86,57.21,88.93,全量刷新,2026-09-09
NOK,诺基亚,USD,10.65,14.96,0.49692,+1y/FY2,16.38,0.49692,0.5376053249999999,0.57829065,22.6,30.1,33.9,熊22.6/中30.1/牛33.9×,street-wing mid=tgt/C; 熊22.6/中30.1/牛33.9×,,,21.43202,11.22,16.18485,19.585912500000006,5.35,51.97,83.91,全量刷新,2026-09-09
NVDA,英伟达,USD,225.73,327.6544,15.51906,+1y/FY2,5.12,15.51906,15.916347936000001,16.313635872,15.8,21.1,23.8,熊15.8/中21.1/牛23.8×,street-wing mid=tgt/C; 熊15.8/中21.1/牛23.8×,,,14.54534,245.7408,336.04235264000005,387.48409344,8.86,48.87,71.66,Q2FY27已报; 熊15.8/中21.1/牛23.8×; fwdPE≈14.5×,2026-09-09
LITE,Lumentum,USD,978.535,1148.4335,21.6426,FY27=0y(已报FY26),9.75,21.6426,22.697947282500003,23.753294565000004,39.8,53.1,59.7,熊39.8/中53.1/牛59.7×,street-wing mid=tgt/C; 熊39.8/中53.1/牛59.7×,,,29.384375,861.325125,1204.43398854375,1417.9887867234377,-11.98,23.09,44.91,全量刷新,2026-09-09
AVGO,博通,USD,368.56,533.4087,19.37208,+1y/FY2,2.49,19.37208,19.613504547,19.854929094000003,20.7,27.5,31.0,熊20.7/中27.5/牛31.0×,street-wing mid=tgt/C; 熊20.7/中27.5/牛31.0×,,,19.009796,400.0565249999999,540.05630592375,615.0419008284375,8.55,46.53,66.88,Q3FY26已报(9/2): NG EPS$3.32 vs $3.24; C用+1y; 熊20.7/中27.5/牛31.0×,2026-09-09
MRVL,Marvell,USD,225.41,284.99802,6.72085,+1y/FY2,1.42,6.72085,6.768652045625001,6.81645409125,31.8,42.4,47.7,熊31.8/中42.4/牛47.7×,street-wing mid=tgt/C; 熊31.8/中42.4/牛47.7×,,,33.538914,213.748515,287.02506841725005,325.1836314388125,-5.17,27.33,44.26,Q2FY27已报: Rev$2.74B(+37%YoY) NG EPS$0.94; Q3指引Rev$3.15B±5% EPS$1.10±0.05; 上调FY27/28收入展望; 熊31.8/中42.4/牛47.7×,2026-09-09
AMD,AMD,USD,505.74,615.3755,15.61176,+1y/FY2,6.87,15.61176,16.148219103000002,16.684678205999997,29.6,39.4,44.3,熊29.6/中39.4/牛44.3×,street-wing mid=tgt/C; 熊29.6/中39.4/牛44.3×,,,32.600895,461.531625,636.5213406187502,739.8755788921874,-8.74,25.86,46.3,全量刷新,2026-09-09
COHR,Coherent,USD,301.88,415.36197,9.41634,FY27=0y(已报FY26),6.7,9.41634,9.731905094250001,10.0474701885,33.1,44.1,49.6,熊33.1/中44.1/牛49.6×,street-wing mid=tgt/C; 熊33.1/中44.1/牛49.6×,,,21.63191,311.5214775,429.2817880196251,498.6018067941563,3.19,42.2,65.17,全量刷新,2026-09-09
NBIS,Nebius,USD,243.88,286.6875,,YE27 ARR $B (非EPS),,14.0,17.0,22.0,3.0,5.0,7.0,熊3.0/中5.0/牛7.0×(EV/ARR),bc-01a016f0终稿 EV/ARR 3/5/7 × ARR $14/17/22B → $140/$291/$533,,,,140.0,291.0,533.0,-42.59,19.32,118.55,Nebius财报解读终稿; 跳过PE,2026-09-09
