ticker,name,currency,px,street_tgt,C,eps_src,beat_b_pct,e_bear,e_base,e_bull,pe_bear,pe_base,pe_bull,pe_tiers,pe_source,dynPE_now,vjn_forward_pe,yahoo_fwdPE,tp_bear,tp_base,tp_bull,up_bear_pct,up_base_pct,up_bull_pct,note,asof
MU,美光,USD,938.44,1513.409,155.02524,动态NTM w=1.0,20.28,155.02524,170.744799336,186.464358672,5.2,7.3,9.1,熊5.2/中7.3/牛9.1×,近1Y动态前瞻PE[1Y] p25/50/75=6.43/7.26/9.10,6.053465874331174,,6.054434,806.131248,1246.4370351528,1696.8256639152,-14.1,32.82,80.81,下刊~9/23; 熊PE锚定5.25; 熊5.2/中7.3/牛9.1×,2026-08-28
SNDK,闪迪,USD,1503.04,2125.087,264.72162,动态NTM w=1.0,46.31,264.72162,326.02122013124995,387.3208202625,3.6,5.0,8.2,熊3.6/中5.0/牛8.2×,近1Y动态前瞻PE[2026-01+] p25/50/75=3.58/5.05/8.15,5.677813546169746,,5.6778135,952.9978319999999,1630.1061006562497,3176.0307261524995,-36.6,8.45,111.31,全量刷新; 熊3.6/中5.0/牛8.2×,2026-08-28
WDC,西数,USD,467.06,664.9167,31.74953,动态NTM w=1.0,11.21,31.74953,33.529091156499994,35.308652313,11.4,14.3,19.0,熊11.4/中14.3/牛19.0×,近1Y动态前瞻PE[1Y] p25/50/75=11.36/14.32/19.01,14.710768946815906,,14.710769,361.944642,479.46600353795,670.864393947,-22.51,2.66,43.64,全量刷新; 熊11.4/中14.3/牛19.0×,2026-08-28
AAOI,AAOI,USD,108.385,163.4,4.602,+1y/FY2,14.65,4.602,4.939096500000001,5.276193000000001,26.6,35.5,39.9,熊26.6/中35.5/牛39.9×,street-wing mid=tgt/C; 熊26.6/中35.5/牛39.9×,,,23.551716,122.55,175.36905000000002,210.75536250000002,13.07,61.8,94.45,全量刷新,2026-08-28
NOK,诺基亚,USD,10.435,15.02222,0.49692,+1y/FY2,16.38,0.49692,0.5376053249999999,0.57829065,22.7,30.2,34.0,熊22.7/中30.2/牛34.0×,street-wing mid=tgt/C; 熊22.7/中30.2/牛34.0×,,,20.999357,11.266665,16.2521642625,19.667372090625,7.97,55.75,88.48,全量刷新,2026-08-28
NVDA,英伟达,USD,224.02,305.7931,13.12766,+1y/FY2,5.12,13.12766,13.463728096000002,13.799796191999999,17.5,23.3,26.2,熊17.5/中23.3/牛26.2×,street-wing mid=tgt/C; 熊17.5/中23.3/牛26.2×,,,14.770007,229.344825,313.62140336,361.6309200599999,2.38,40.0,61.43,Q2FY27已报; 熊17.5/中23.3/牛26.2×; fwdPE≈14.8×,2026-08-28
LITE,Lumentum,USD,917.42,1148.303,21.62373,FY27=0y(已报FY26),9.75,21.62373,22.678157134124998,23.73258426825,39.8,53.1,59.7,熊39.8/中53.1/牛59.7×,street-wing mid=tgt/C; 熊39.8/中53.1/牛59.7×,,,27.789516,861.2272500000001,1204.2971250375,1417.8276563343752,-6.13,31.27,54.55,全量刷新,2026-08-28
AVGO,博通,USD,373.5,525.97394,19.49103,+1y/FY2,2.26,19.49103,19.711278639,19.931527277999997,20.2,27.0,30.4,熊20.2/中27.0/牛30.4×,street-wing mid=tgt/C; 熊20.2/中27.0/牛30.4×,,,19.156439,394.480455,531.917445522,605.0935699244999,5.62,42.41,62.01,下刊~9/2; 熊20.2/中27.0/牛30.4×,2026-08-28
MRVL,Marvell,USD,222.56,269.28217,6.31536,+1y/FY2,1.42,6.31536,6.360277998000001,6.405195996,32.0,42.6,48.0,熊32.0/中42.6/牛48.0×,street-wing mid=tgt/C; 熊32.0/中42.6/牛48.0×,,,34.557987,201.9616275,271.19743943412504,307.25179747678123,-9.26,21.85,38.05,Q2FY27已报: Rev$2.74B(+37%YoY) NG EPS$0.94; Q3指引Rev$3.15B±5% EPS$1.10±0.05; 上调FY27/28收入展望; 熊32.0/中42.6/牛48.0×,2026-08-28
AMD,AMD,USD,474.745,613.8449,15.45073,+1y/FY2,6.87,15.45073,15.981655709625,16.512581419249997,29.8,39.7,44.7,熊29.8/中39.7/牛44.7×,street-wing mid=tgt/C; 熊29.8/中39.7/牛44.7×,,,30.72638,460.3836750000001,634.9381453762501,738.0353145965624,-3.03,33.74,55.46,全量刷新,2026-08-28
